date_day,tot
2020-09-13,234
2020-09-14,173
2020-09-15,202
2020-09-16,154
2020-09-17,130
2020-09-18,154
2020-09-19,120
2020-09-20,230
2020-09-21,199
2020-09-22,190
2020-09-23,124
2020-09-24,183
2020-09-25,126
2020-09-26,114
2020-09-27,186
2020-09-28,181
2020-09-29,151
2020-09-30,203
2020-10-01,74
2020-10-02,72
2020-10-03,180
2020-10-04,184
2020-10-05,132
2020-10-06,139
2020-10-07,89
2020-10-08,93
2020-10-09,125
2020-10-10,104
2020-10-11,96
2020-10-12,97
2020-10-13,99
2020-10-14,79
2020-10-15,119
2020-10-16,85
2020-10-17,152
2020-10-18,120
2020-10-19,129
2020-10-20,75
2020-10-21,154
2020-10-22,124
2020-10-23,82
2020-10-24,131
2020-10-25,154
2020-10-26,126
2020-10-27,171
2020-10-28,128
2020-10-29,69
2020-10-30,133
2020-10-31,134
2020-11-01,189
2020-11-02,165
2020-11-03,145
2020-11-04,92
2020-11-05,186
2020-11-06,146
2020-11-07,243
2020-11-08,261
2020-11-09,258
2020-11-10,167
2020-11-11,98
2020-11-12,162
2020-11-13,178
2020-11-14,162
2020-11-15,192
2020-11-16,129
2020-11-17,47
2020-11-18,94
2020-11-19,113
2020-11-20,132
2020-11-21,170
2020-11-22,173
2020-11-23,215
2020-11-24,134
2020-11-25,175
2020-11-26,135
2020-11-27,137
2020-11-28,164
2020-11-29,178
2020-11-30,134
2020-12-01,209
2020-12-02,93
2020-12-03,88
2020-12-04,100
2020-12-05,101
2020-12-06,152
2020-12-07,111
2020-12-08,106
2020-12-09,88
2020-12-10,70
2020-12-11,136
2020-12-12,101
2020-12-13,120
2020-12-14,106
2020-12-15,168
2020-12-16,118
2020-12-17,115
2020-12-18,111
2020-12-19,205
2020-12-20,145
2020-12-21,195
2020-12-22,87
2020-12-23,95
2020-12-24,91
2020-12-25,108
2020-12-26,138
2020-12-27,158
2020-12-28,148
2020-12-29,169
2020-12-30,93
2020-12-31,153
2021-01-01,192
2021-01-02,314
2021-01-03,255
2021-01-04,246
2021-01-05,270
2021-01-06,208
2021-01-07,193
2021-01-08,270
2021-01-09,144
2021-01-10,299
2021-01-11,106
2021-01-12,190
2021-01-13,268
2021-01-14,292
2021-01-15,244
2021-01-16,279
2021-01-17,241
2021-01-18,351
2021-01-19,282
2021-01-20,246
2021-01-21,311
2021-01-22,292
2021-01-23,136
2021-01-24,285
2021-01-25,256
2021-01-26,122
2021-01-27,207
2021-01-28,138
2021-01-29,151
2021-01-30,237
2021-01-31,321
2021-02-01,180
2021-02-02,245
2021-02-03,352
2021-02-04,297
2021-02-05,294
2021-02-06,278
2021-02-07,205
2021-02-08,257
2021-02-09,325
2021-02-10,330
2021-02-11,239
2021-02-12,161
2021-02-13,254
2021-02-14,113
2021-02-15,280
2021-02-16,394
2021-02-17,271
2021-02-18,208
2021-02-19,243
2021-02-20,240
2021-02-21,460
2021-02-22,147
2021-02-23,257
2021-02-24,148
2021-02-25,280
2021-02-26,228
2021-02-27,182
2021-02-28,287
2021-03-01,187
2021-03-02,223
2021-03-03,243
2021-03-04,147
2021-03-05,134
2021-03-06,221
2021-03-07,176
2021-03-08,247
2021-03-09,194
2021-03-10,149
2021-03-11,251
2021-03-12,272
2021-03-13,200
2021-03-14,156
2021-03-15,242
2021-03-16,208
2021-03-17,101
2021-03-18,365
2021-03-19,200
2021-03-20,292
2021-03-21,223
2021-03-22,277
2021-03-23,246
2021-03-24,267
2021-03-25,205
2021-03-26,121
2021-03-27,146
2021-03-28,302
2021-03-29,134
2021-03-30,228
2021-03-31,264
2021-04-01,275
2021-04-02,304
2021-04-03,214
2021-04-04,413
2021-04-05,390
2021-04-06,408
2021-04-07,231
2021-04-08,311
2021-04-09,343
2021-04-10,362
2021-04-11,291
2021-04-12,121
2021-04-13,267
2021-04-14,388
2021-04-15,214
2021-04-16,334
2021-04-17,210
2021-04-18,482
2021-04-19,266
2021-04-20,288
2021-04-21,267
2021-04-22,273
2021-04-23,322
2021-04-24,223
2021-04-25,207
2021-04-26,281
2021-04-27,297
2021-04-28,260
2021-04-29,288
2021-04-30,222
2021-05-01,240
2021-05-02,299
2021-05-03,245
2021-05-04,164
2021-05-05,243
2021-05-06,270
2021-05-07,191
2021-05-08,253
2021-05-09,310
2021-05-10,387
2021-05-11,289
2021-05-12,226
2021-05-13,202
2021-05-14,214
2021-05-15,236
2021-05-16,411
2021-05-17,263
2021-05-18,309
2021-05-19,227
2021-05-20,171
2021-05-21,203
2021-05-22,107
2021-05-23,323
2021-05-24,160
2021-05-25,332
2021-05-26,201
2021-05-27,247
2021-05-28,158
2021-05-29,218
2021-05-30,264
2021-05-31,290
2021-06-01,275
2021-06-02,410
2021-06-03,256
2021-06-04,319
2021-06-05,245
2021-06-06,356
2021-06-07,193
2021-06-08,269
2021-06-09,188
2021-06-10,161
2021-06-11,347
2021-06-12,343
2021-06-13,118
2021-06-14,235
2021-06-15,445
2021-06-16,229
2021-06-17,211
2021-06-18,233
2021-06-19,199
2021-06-20,209
2021-06-21,219
2021-06-22,240
2021-06-23,342
2021-06-24,251
2021-06-25,317
2021-06-26,247
2021-06-27,368
2021-06-28,315
2021-06-29,177
2021-06-30,298
2021-07-01,143
2021-07-02,201
2021-07-03,219
2021-07-04,274
2021-07-05,227
2021-07-06,281
2021-07-07,179
2021-07-08,128
2021-07-09,272
2021-07-10,311
2021-07-11,288
2021-07-12,243
2021-07-13,341
2021-07-14,176
2021-07-15,230
2021-07-16,369
2021-07-17,224
2021-07-18,144
2021-07-19,384
2021-07-20,351
2021-07-21,209
2021-07-22,168
2021-07-23,210
2021-07-24,221
2021-07-25,246
2021-07-26,231
2021-07-27,226
2021-07-28,287
2021-07-29,211
2021-07-30,192
2021-07-31,273
2021-08-01,333
2021-08-02,336
2021-08-03,281
2021-08-04,412
2021-08-05,256
2021-08-06,170
2021-08-07,353
2021-08-08,356
2021-08-09,354
2021-08-10,250
2021-08-11,187
2021-08-12,312
2021-08-13,288
2021-08-14,211
2021-08-15,216
2021-08-16,238
2021-08-17,222
2021-08-18,98
2021-08-19,217
2021-08-20,232
2021-08-21,341
2021-08-22,319
2021-08-23,223
2021-08-24,412
2021-08-25,188
2021-08-26,282
2021-08-27,187
2021-08-28,193
2021-08-29,238
2021-08-30,302
2021-08-31,439
2021-09-01,237
2021-09-02,206
2021-09-03,171
2021-09-04,68
2021-09-05,423
2021-09-06,107
2021-09-07,135
2021-09-08,220
2021-09-09,242
2021-09-10,333
2021-09-11,300
2021-09-12,309
2021-09-13,205
2021-09-14,215
2021-09-15,376
2021-09-16,262
2021-09-17,292
2021-09-18,209
2021-09-19,177
2021-09-20,133
2021-09-21,279
2021-09-22,287
2021-09-23,229
2021-09-24,362
2021-09-25,284
2021-09-26,187
2021-09-27,177
2021-09-28,350
2021-09-29,304
2021-09-30,171
2021-10-01,180
2021-10-02,290
2021-10-03,305
2021-10-04,427
2021-10-05,199
2021-10-06,317
2021-10-07,166
2021-10-08,139
2021-10-09,318
2021-10-10,212
2021-10-11,132
2021-10-12,355
2021-10-13,290
2021-10-14,183
2021-10-15,383
2021-10-16,260
2021-10-17,299
2021-10-18,72
2021-10-19,290
2021-10-20,72
2021-10-21,263
2021-10-22,233
2021-10-23,225
2021-10-24,259
2021-10-25,290
2021-10-26,204
2021-10-27,261
2021-10-28,212
2021-10-29,249
2021-10-30,247
2021-10-31,292
2021-11-01,218
2021-11-02,263
2021-11-03,469
2021-11-04,269
2021-11-05,269
2021-11-06,203
2021-11-07,322
2021-11-08,410
2021-11-09,202
2021-11-10,184
2021-11-11,310
2021-11-12,246
2021-11-13,306
2021-11-14,232
2021-11-15,358
2021-11-16,273
2021-11-17,205
2021-11-18,213
2021-11-19,185
2021-11-20,137
2021-11-21,186
2021-11-22,187
2021-11-23,385
2021-11-24,234
2021-11-25,349
2021-11-26,252
2021-11-27,206
2021-11-28,202
2021-11-29,270
2021-11-30,223
2021-12-01,256
2021-12-02,155
2021-12-03,212
2021-12-04,222
2021-12-05,200
2021-12-06,288
2021-12-07,132
2021-12-08,197
2021-12-09,146
2021-12-10,273
2021-12-11,240
2021-12-12,300
2021-12-13,222
2021-12-14,243
2021-12-15,170
2021-12-16,273
2021-12-17,156
2021-12-18,197
2021-12-19,175
2021-12-20,181
2021-12-21,277
2021-12-22,242
2021-12-23,267
2021-12-24,250
2021-12-25,243
2021-12-26,254
2021-12-27,197
2021-12-28,264
2021-12-29,287
2021-12-30,326
2021-12-31,289
2022-01-01,261
2022-01-02,451
2022-01-03,191
2022-01-04,336
2022-01-05,320
2022-01-06,336
2022-01-07,213
2022-01-08,221
2022-01-09,188
2022-01-10,380
2022-01-11,221
2022-01-12,299
2022-01-13,335
2022-01-14,240
2022-01-15,265
2022-01-16,411
2022-01-17,339
2022-01-18,318
2022-01-19,226
2022-01-20,261
2022-01-21,359
2022-01-22,233
2022-01-23,140
2022-01-24,245
2022-01-25,306
2022-01-26,266
2022-01-27,273
2022-01-28,210
2022-01-29,119
2022-01-30,283
2022-01-31,174
2022-02-01,591
2022-02-02,277
2022-02-03,157
2022-02-04,367
2022-02-05,294
2022-02-06,473
2022-02-07,333
2022-02-08,438
2022-02-09,165
2022-02-10,296
2022-02-11,267
2022-02-12,207
2022-02-13,318
2022-02-14,243
2022-02-15,534
2022-02-16,374
2022-02-17,320
2022-02-18,361
2022-02-19,131
2022-02-20,167
2022-02-21,433
2022-02-22,378
2022-02-23,181
2022-02-24,224
2022-02-25,417
2022-02-26,399
2022-02-27,272
2022-02-28,400
2022-03-01,177
2022-03-02,246
2022-03-03,164
2022-03-04,158
2022-03-05,210
2022-03-06,436
2022-03-07,208
2022-03-08,90
2022-03-09,322
2022-03-10,137
2022-03-11,225
2022-03-12,221
2022-03-13,257
2022-03-14,185
2022-03-15,184
2022-03-16,168
2022-03-17,221
2022-03-18,99
2022-03-19,105
2022-03-20,225
2022-03-21,272
2022-03-22,188
2022-03-23,192
2022-03-24,278
2022-03-25,193
2022-03-26,126
2022-03-27,250
2022-03-28,230
2022-03-29,214
2022-03-30,271
2022-03-31,351
2022-04-01,198
2022-04-02,269
2022-04-03,395
2022-04-04,353
2022-04-05,248
2022-04-06,335
2022-04-07,233
2022-04-08,145
2022-04-09,358
2022-04-10,264
2022-04-11,288
2022-04-12,259
2022-04-13,383
2022-04-14,114
2022-04-15,128
2022-04-16,308
2022-04-17,74
2022-04-18,197
2022-04-19,244
2022-04-20,215
2022-04-21,291
2022-04-22,224
2022-04-23,165
2022-04-24,228
2022-04-25,259
2022-04-26,235
2022-04-27,193
2022-04-28,161
2022-04-29,198
2022-04-30,373
2022-05-01,265
2022-05-02,202
2022-05-03,214
2022-05-04,265
2022-05-05,144
2022-05-06,190
2022-05-07,251
2022-05-08,151
2022-05-09,203
2022-05-10,232
2022-05-11,326
2022-05-12,256
2022-05-13,285
2022-05-14,351
2022-05-15,153
2022-05-16,211
2022-05-17,176
2022-05-18,209
2022-05-19,149
2022-05-20,187
2022-05-21,198
2022-05-22,286
2022-05-23,262
2022-05-24,276
2022-05-25,335
2022-05-26,235
2022-05-27,198
2022-05-28,124
2022-05-29,294
2022-05-30,208
2022-05-31,283
2022-06-01,287
2022-06-02,237
2022-06-03,148
2022-06-04,237
2022-06-05,291
2022-06-06,555
2022-06-07,327
2022-06-08,280
2022-06-09,245
2022-06-10,192
2022-06-11,286
2022-06-12,274
2022-06-13,436
2022-06-14,156
2022-06-15,308
2022-06-16,374
2022-06-17,270
2022-06-18,257
2022-06-19,213
2022-06-20,429
2022-06-21,424
2022-06-22,344
2022-06-23,166
2022-06-24,447
2022-06-25,307
2022-06-26,124
2022-06-27,330
2022-06-28,290
2022-06-29,241
2022-06-30,174
2022-07-01,235
2022-07-02,218
2022-07-03,275
2022-07-04,248
2022-07-05,229
2022-07-06,348
2022-07-07,304
2022-07-08,291
2022-07-09,288
2022-07-10,187
2022-07-11,231
2022-07-12,416
2022-07-13,267
2022-07-14,223
2022-07-15,290
2022-07-16,201
2022-07-17,180
2022-07-18,331
2022-07-19,270
2022-07-20,187
2022-07-21,159
2022-07-22,288
2022-07-23,276
2022-07-24,190
2022-07-25,300
2022-07-26,452
2022-07-27,398
2022-07-28,224
2022-07-29,165
2022-07-30,328
2022-07-31,147
2022-08-01,426
2022-08-02,219
2022-08-03,303
2022-08-04,308
2022-08-05,209
2022-08-06,268
2022-08-07,239
2022-08-08,217
2022-08-09,353
2022-08-10,243
2022-08-11,237
2022-08-12,195
2022-08-13,308
2022-08-14,207
2022-08-15,381
2022-08-16,578
2022-08-17,149
2022-08-18,105
2022-08-19,251
2022-08-20,215
2022-08-21,278
2022-08-22,235
2022-08-23,317
2022-08-24,273
2022-08-25,149
2022-08-26,231
2022-08-27,418
2022-08-28,310
2022-08-29,221
2022-08-30,294
2022-08-31,246
2022-09-01,127
2022-09-02,259
2022-09-03,249
2022-09-04,259
2022-09-05,272
2022-09-06,351
2022-09-07,259
2022-09-08,307
2022-09-09,128
2022-09-10,260
2022-09-11,151
2022-09-12,398
2022-09-13,202
2022-09-14,276
2022-09-15,424
2022-09-16,238
2022-09-17,290
2022-09-18,347
2022-09-19,311
2022-09-20,268
2022-09-21,292
2022-09-22,247
2022-09-23,231
2022-09-24,211
2022-09-25,354
2022-09-26,307
2022-09-27,237
2022-09-28,300
2022-09-29,246
2022-09-30,340
2022-10-01,228
2022-10-02,222
2022-10-03,314
2022-10-04,263
2022-10-05,221
2022-10-06,255
2022-10-07,251
2022-10-08,395
2022-10-09,241
2022-10-10,252
2022-10-11,328
2022-10-12,340
2022-10-13,96
2022-10-14,147
2022-10-15,357
2022-10-16,213
2022-10-17,291
2022-10-18,426
2022-10-19,291
2022-10-20,237
2022-10-21,174
2022-10-22,285
2022-10-23,332
2022-10-24,226
2022-10-25,203
2022-10-26,167
2022-10-27,289
2022-10-28,187
2022-10-29,197
2022-10-30,350
2022-10-31,119
2022-11-01,228
2022-11-02,151
2022-11-03,174
2022-11-04,335
2022-11-05,206
2022-11-06,202
2022-11-07,219
2022-11-08,219
2022-11-09,365
2022-11-10,196
2022-11-11,282
2022-11-12,163
2022-11-13,499
2022-11-14,124
2022-11-15,398
2022-11-16,160
2022-11-17,315
2022-11-18,132
2022-11-19,266
2022-11-20,225
2022-11-21,252
2022-11-22,228
2022-11-23,492
2022-11-24,283
2022-11-25,273
2022-11-26,168
2022-11-27,81
2022-11-28,338
2022-11-29,208
2022-11-30,318
2022-12-01,223
2022-12-02,207
2022-12-03,302
2022-12-04,218
2022-12-05,372
2022-12-06,246
2022-12-07,190
2022-12-08,227
2022-12-09,355
2022-12-10,172
2022-12-11,262
2022-12-12,325
2022-12-13,364
2022-12-14,143
2022-12-15,252
2022-12-16,195
2022-12-17,192
2022-12-18,232
2022-12-19,319
2022-12-20,330
2022-12-21,471
2022-12-22,123
2022-12-23,126
2022-12-24,254
2022-12-25,259
2022-12-26,310
2022-12-27,331
2022-12-28,233
2022-12-29,89
2022-12-30,171
2022-12-31,302
2023-01-01,213
2023-01-02,349
2023-01-03,210
2023-01-04,342
2023-01-05,174
2023-01-06,148
2023-01-07,348
2023-01-08,167
2023-01-09,317
2023-01-10,192
2023-01-11,253
2023-01-12,131
2023-01-13,175
2023-01-14,148
2023-01-15,273
2023-01-16,295
2023-01-17,220
2023-01-18,340
2023-01-19,128
2023-01-20,299
2023-01-21,139
2023-01-22,305
2023-01-23,228
2023-01-24,333
2023-01-25,367
2023-01-26,296
2023-01-27,377
2023-01-28,289
2023-01-29,204
2023-01-30,356
2023-01-31,346
2023-02-01,162
2023-02-02,317
2023-02-03,201
2023-02-04,278
2023-02-05,282
2023-02-06,342
2023-02-07,301
2023-02-08,338
2023-02-09,289
2023-02-10,327
2023-02-11,299
2023-02-12,281
2023-02-13,199
2023-02-14,253
2023-02-15,335
2023-02-16,293
2023-02-17,275
2023-02-18,245
2023-02-19,280
2023-02-20,255
2023-02-21,211
2023-02-22,222
2023-02-23,271
2023-02-24,292
2023-02-25,204
2023-02-26,246
2023-02-27,327
2023-02-28,327
2023-03-01,278
2023-03-02,117
2023-03-03,179
2023-03-04,162
2023-03-05,312
2023-03-06,350
2023-03-07,197
2023-03-08,205
2023-03-09,148
2023-03-10,209
2023-03-11,188
2023-03-12,290
2023-03-13,210
2023-03-14,215
2023-03-15,238
2023-03-16,188
2023-03-17,184
2023-03-18,151
2023-03-19,193
2023-03-20,173
2023-03-21,317
2023-03-22,275
2023-03-23,173
2023-03-24,163
2023-03-25,179
2023-03-26,242
2023-03-27,222
2023-03-28,314
2023-03-29,226
2023-03-30,81
2023-03-31,139
2023-04-01,337
2023-04-02,270
2023-04-03,327
2023-04-04,316
2023-04-05,208
2023-04-06,185
2023-04-07,250
2023-04-08,75
2023-04-09,213
2023-04-10,210
2023-04-11,287
2023-04-12,259
2023-04-13,146
2023-04-14,251
2023-04-15,159
2023-04-16,257
2023-04-17,246
2023-04-18,311
2023-04-19,286
2023-04-20,252
2023-04-21,200
2023-04-22,261
2023-04-23,220
2023-04-24,263
2023-04-25,254
2023-04-26,336
2023-04-27,215
2023-04-28,166
2023-04-29,311
2023-04-30,223
2023-05-01,260
2023-05-02,240
2023-05-03,276
2023-05-04,208
2023-05-05,154
2023-05-06,314
2023-05-07,248
2023-05-08,167
2023-05-09,294
2023-05-10,163
2023-05-11,268
2023-05-12,196
2023-05-13,226
2023-05-14,199
2023-05-15,156
2023-05-16,328
2023-05-17,187
2023-05-18,163
2023-05-19,163
2023-05-20,222
2023-05-21,201
2023-05-22,230
2023-05-23,310
2023-05-24,266
2023-05-25,175
2023-05-26,139
2023-05-27,255
2023-05-28,166
2023-05-29,166
2023-05-30,238
2023-05-31,242
2023-06-01,271
2023-06-02,194
2023-06-03,160
2023-06-04,265
2023-06-05,400
2023-06-06,421
2023-06-07,348
2023-06-08,287
2023-06-09,127
2023-06-10,203
2023-06-11,231
2023-06-12,389
2023-06-13,214
2023-06-14,186
2023-06-15,185
2023-06-16,247
2023-06-17,202
2023-06-18,231
2023-06-19,230
2023-06-20,287
2023-06-21,255
2023-06-22,212
2023-06-23,216
2023-06-24,258
2023-06-25,192
2023-06-26,281
2023-06-27,260
2023-06-28,267
2023-06-29,204
2023-06-30,228
2023-07-01,230
2023-07-02,244
2023-07-03,239
2023-07-04,285
2023-07-05,350
2023-07-06,177
2023-07-07,224
2023-07-08,232
2023-07-09,296
2023-07-10,250
2023-07-11,434
2023-07-12,309
2023-07-13,256
2023-07-14,199
2023-07-15,384
2023-07-16,272
2023-07-17,238
2023-07-18,175
2023-07-19,215
2023-07-20,188
2023-07-21,318
2023-07-22,149
2023-07-23,200
2023-07-24,327
2023-07-25,235
2023-07-26,396
2023-07-27,263
2023-07-28,198
2023-07-29,242
2023-07-30,268
2023-07-31,224
2023-08-01,320
2023-08-02,274
2023-08-03,237
2023-08-04,185
2023-08-05,292
2023-08-06,239
2023-08-07,342
2023-08-08,213
2023-08-09,248
2023-08-10,203
2023-08-11,220
2023-08-12,237
2023-08-13,213
2023-08-14,167
2023-08-15,202
2023-08-16,188
2023-08-17,147
2023-08-18,211
2023-08-19,137
2023-08-20,254
2023-08-21,350
2023-08-22,275
2023-08-23,284
2023-08-24,152
2023-08-25,228
2023-08-26,345
2023-08-27,284
2023-08-28,123
2023-08-29,320
2023-08-30,223
2023-08-31,249
2023-09-01,267
2023-09-02,231
2023-09-03,175
2023-09-04,83
2023-09-05,372
2023-09-06,329
2023-09-07,262
2023-09-08,155
2023-09-09,318
2023-09-10,323
2023-09-11,319
2023-09-12,293
2023-09-13,323
2023-09-14,195
2023-09-15,207
2023-09-16,246
2023-09-17,269
2023-09-18,221
2023-09-19,197
2023-09-20,180
2023-09-21,231
2023-09-22,270
2023-09-23,155
2023-09-24,275
2023-09-25,116
2023-09-26,366
2023-09-27,334
2023-09-28,259
2023-09-29,243
2023-09-30,186
2023-10-01,277
2023-10-02,169
2023-10-03,270
2023-10-04,206
2023-10-05,232
2023-10-06,358
2023-10-07,121
2023-10-08,210
2023-10-09,284
2023-10-10,197
2023-10-11,277
2023-10-12,123
2023-10-13,155
2023-10-14,174
2023-10-15,249
2023-10-16,175
2023-10-17,132
2023-10-18,172
2023-10-19,106
2023-10-20,148
2023-10-21,216
2023-10-22,188
2023-10-23,160
2023-10-24,274
2023-10-25,184
2023-10-26,204
2023-10-27,148
2023-10-28,198
2023-10-29,117
2023-10-30,239
2023-10-31,365
2023-11-01,240
2023-11-02,141
2023-11-03,230
2023-11-04,139
2023-11-05,154
2023-11-06,189
2023-11-07,200
2023-11-08,210
2023-11-09,159
2023-11-10,206
2023-11-11,191
2023-11-12,168
2023-11-13,272
2023-11-14,226
2023-11-15,311
2023-11-16,207
2023-11-17,196
2023-11-18,180
2023-11-19,191
2023-11-20,212
2023-11-21,256
2023-11-22,294
2023-11-23,220
2023-11-24,209
2023-11-25,338
2023-11-26,317
2023-11-27,236
2023-11-28,245
2023-11-29,211
2023-11-30,175
2023-12-01,209
2023-12-02,117
2023-12-03,166
2023-12-04,234
2023-12-05,232
2023-12-06,322
2023-12-07,140
2023-12-08,274
2023-12-09,202
2023-12-10,259
2023-12-11,222
2023-12-12,356
2023-12-13,159
2023-12-14,196
2023-12-15,232
2023-12-16,217
2023-12-17,250
2023-12-18,231
2023-12-19,309
2023-12-20,234
2023-12-21,228
2023-12-22,300
2023-12-23,187
2023-12-24,234
2023-12-25,217
2023-12-26,219
2023-12-27,449
2023-12-28,209
2023-12-29,242
2023-12-30,346
2023-12-31,185
